SORA Value Month,Compound SORA - 3 month
2005-10,1.9604761904761905
2005-11,2.1952000000000003
2005-12,2.470247619047619
2006-01,2.795811111111111
2006-02,3.040975
2006-03,3.1625434782608695
2006-04,3.1539894736842107
2006-05,3.1240238095238095
2006-06,3.1237
2006-07,3.1728
2006-08,3.2018318181818177
2006-09,3.243361904761905
2006-10,3.266895238095238
2006-11,3.339127272727273
2006-12,3.3038800000000004
2007-01,3.255638095238095
2007-02,3.1698444444444447
2007-03,3.032309090909091
2007-04,2.797535
2007-05,2.5127428571428574
2007-06,2.3149380952380954
2007-07,2.210259090909091
2007-08,2.231631818181818
2007-09,2.281085
2007-10,2.270204347826087
2007-11,2.1495761904761905
2007-12,1.812942105263158
2008-01,1.3868318181818182
2008-02,1.1906684210526317
2008-03,1.0986850000000001
2008-04,0.9944090909090909
2008-05,0.72646
2008-06,0.5744999999999999
2008-07,0.4828521739130435
2008-08,0.4203571428571429
2008-09,0.5396227272727273
2008-10,0.7556761904761904
2008-11,0.738415
2008-12,0.6078380952380952
2009-01,0.3595894736842105
2009-02,0.277105
2009-03,0.20617272727272729
2009-04,0.20387142857142856
2009-05,0.18610500000000002
2009-06,0.15484545454545454
2009-07,0.11851304347826087
2009-08,0.1684
2009-09,0.19771428571428573
2009-10,0.2375409090909091
2009-11,0.25255
2009-12,0.2406227272727273
2010-01,0.19402999999999998
2010-02,0.15024444444444446
2010-03,0.13040434782608695
2010-04,0.1301
2010-05,0.11306000000000001
2010-06,0.11399090909090909
2010-07,0.11358636363636364
2010-08,0.12245714285714286
2010-09,0.11504761904761904
2010-10,0.10782857142857144
2010-11,0.09613000000000001
2010-12,0.08625652173913044
2011-01,0.07711904761904761
2011-02,0.08008888888888889
2011-03,0.06558260869565218
2011-04,0.059325
2011-05,0.053385
2011-06,0.059681818181818176
2011-07,0.05834285714285715
2011-08,0.047652380952380946
2011-09,0.045636363636363635
2011-10,0.04787
2011-11,0.0528
2011-12,0.05460952380952381
2012-01,0.057326315789473684
2012-02,0.058309523809523804
2012-03,0.05205454545454546
2012-04,0.043375
2012-05,0.04315454545454545
2012-06,0.04643333333333333
2012-07,0.051009090909090914
2012-08,0.05727142857142858
2012-09,0.06416
2012-10,0.07890909090909091
2012-11,0.07696190476190476
2012-12,0.072265
2013-01,0.05599545454545454
2013-02,0.051272222222222226
2013-03,0.049025
2013-04,0.04889545454545455
2013-05,0.04971904761904762
2013-06,0.050405
2013-07,0.05127826086956522
2013-08,0.047275
2013-09,0.04203333333333333
2013-10,0.048027272727272724
