,address,latitude,longitude
0,174 ANG MO KIO AVE 4,1.37509746867904,103.83761896123
1,541 ANG MO KIO AVE 10,1.37392239168826,103.855621371068
2,163 ANG MO KIO AVE 4,1.37355178595963,103.838168959329
3,446 ANG MO KIO AVE 10,1.36776094720351,103.85535715026
4,557 ANG MO KIO AVE 10,1.3716257020332,103.857736107527
5,603 ANG MO KIO AVE 5,1.38020079047279,103.83575571651
6,709 ANG MO KIO AVE 8,1.37113720765377,103.847662320064
7,333 ANG MO KIO AVE 1,1.3613425564061,103.851698621454
8,109 ANG MO KIO AVE 4,1.37009653758337,103.837687775294
9,564 ANG MO KIO AVE 3,1.36984837555524,103.859404131956
10,218 ANG MO KIO AVE 1,1.36511908595886,103.841742478489
11,556 ANG MO KIO AVE 10,1.37203236308683,103.857625375797
12,156 ANG MO KIO AVE 4,1.37549519574964,103.839947470774
13,471 ANG MO KIO AVE 10,1.36346600647245,103.856702918462
14,434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653
15,560 ANG MO KIO AVE 10,1.37081626777721,103.859192334256
16,332 ANG MO KIO AVE 1,1.36167030761833,103.851955453764
17,421 ANG MO KIO AVE 10,1.36538422642267,103.852966961527
18,506 ANG MO KIO AVE 8,1.37440041920745,103.84893617353
19,631 ANG MO KIO AVE 4,1.3795572819161,103.840735651035
20,153 ANG MO KIO AVE 5,1.37635745661369,103.842056476563
21,442 ANG MO KIO AVE 10,1.36569241524537,103.855097870221
22,558 ANG MO KIO AVE 10,1.37123613284274,103.859192016193
23,212 ANG MO KIO AVE 3,1.36880359418469,103.841618072603
24,152 ANG MO KIO AVE 5,1.3766876256746,103.840159506601
25,331 ANG MO KIO AVE 1,1.36211140145298,103.85076647513
26,121 ANG MO KIO AVE 3,1.36970226464475,103.84343759746
27,130 ANG MO KIO AVE 3,1.37039791675237,103.841878840032
28,646 ANG MO KIO AVE 6,1.37939517687868,103.843763599411
29,424 ANG MO KIO AVE 3,1.36860660305158,103.850808805402
30,584 ANG MO KIO AVE 3,1.3707097868791,103.853494767426
31,412 ANG MO KIO AVE 10,1.36385512178453,103.855287998999
32,612 ANG MO KIO AVE 4,1.37890791374409,103.838602654716
33,562 ANG MO KIO AVE 3,1.37018144221919,103.85901883576
34,223 ANG MO KIO AVE 1,1.36604808445916,103.838122716883
35,150 ANG MO KIO AVE 5,1.37680678506745,103.842017962576
36,468 ANG MO KIO AVE 10,1.36487674599293,103.856287317569
37,177 ANG MO KIO AVE 4,1.37583827139652,103.838123054825
38,415 ANG MO KIO AVE 10,1.36445336562983,103.853655231224
39,254 ANG MO KIO AVE 4,1.37020344042146,103.834687722549
40,207 ANG MO KIO AVE 1,1.36582089504381,103.842847772078
41,432 ANG MO KIO AVE 10,1.36830996981351,103.853600305664
42,117 ANG MO KIO AVE 4,1.3737170825368,103.835610469339
43,428 ANG MO KIO AVE 3,1.36893906457102,103.854412288513
44,573 ANG MO KIO AVE 3,1.37056143999067,103.854823102785
45,418 ANG MO KIO AVE 10,1.3649460137791,103.854043379775
46,324 ANG MO KIO AVE 3,1.36833392201705,103.846879231399
47,596B ANG MO KIO ST 52,1.37205123278789,103.850545847531
48,234 ANG MO KIO AVE 3,1.36718287740141,103.836639986274
49,648 ANG MO KIO AVE 5,1.37823859353841,103.843719728887
50,253A ANG MO KIO ST 21,1.36994640110529,103.834284522299
51,439 ANG MO KIO AVE 10,1.36629197864802,103.85349630883
52,306 ANG MO KIO AVE 1,1.36572552222846,103.845750564626
53,729 ANG MO KIO AVE 6,1.3738661404098,103.845935822176
54,315B ANG MO KIO ST 31,1.36402757273373,103.847478724527
55,700C ANG MO KIO AVE 6,1.36944159368432,103.84648823913
56,620 BEDOK RESERVOIR RD,1.33433431952628,103.917712569623
57,38 BEDOK STH RD,1.32082560856834,103.938994585574
58,504 BEDOK NTH ST 3,1.33188000305479,103.932389359044
59,545 BEDOK NTH ST 3,1.3300514240201,103.924118031423
60,546 BEDOK NTH ST 3,1.33082005919243,103.925595840288
61,18 BEDOK STH RD,1.31784024894204,103.929396777961
62,550 BEDOK NTH AVE 1,1.3326931795279,103.926617402908
63,502 BEDOK NTH ST 3,1.331245062192,103.931244293846
64,509 BEDOK NTH ST 3,1.33306648174585,103.931091390071
65,525 BEDOK NTH ST 3,1.3347035219436,103.929040927901
66,534 BEDOK NTH ST 3,1.33303698213001,103.924812248346
67,542 BEDOK NTH ST 3,1.33066590908483,103.922843972485
68,76 BEDOK NTH RD,1.3282966654865,103.942067527916
69,709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667
70,703 BEDOK RESERVOIR RD,1.33716507441516,103.919893055357
71,27 NEW UPP CHANGI RD,1.32407808608611,103.934700574178
72,42 CHAI CHEE ST,1.32797877350561,103.925804792632
73,426 BEDOK NTH RD,1.32980063275837,103.928985674792
74,530 BEDOK NTH ST 3,1.33371332018833,103.927020293564
75,420 BEDOK NTH ST 1,1.32774467875638,103.928874390405
76,105 BEDOK NTH AVE 4,1.33372280929,103.936517719048
77,519 BEDOK NTH AVE 1,1.33087465125044,103.928059091947
78,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
79,537 BEDOK NTH ST 3,1.33171102182223,103.923951085318
80,28 NEW UPP CHANGI RD,1.32370531661721,103.934992763383
81,100 BEDOK NTH AVE 4,1.3343559340081,103.939032711241
82,103 BEDOK RESERVOIR RD,1.32877022232019,103.909381354431
83,522 BEDOK NTH AVE 1,1.33066302927677,103.92698039611
84,551 BEDOK NTH AVE 1,1.33226851755603,103.927036580009
85,608 BEDOK RESERVOIR RD,1.33184129947186,103.913196235939
86,135 BEDOK NTH ST 2,1.32873201687201,103.936506734604
87,40 CHAI CHEE AVE,1.32604335303082,103.926488452026
88,57 NEW UPP CHANGI RD,1.32425201243512,103.941571885143
89,401 BEDOK NTH AVE 3,1.33098173461878,103.933604621756
90,2 BEDOK STH AVE 1,1.32130118793544,103.933299574181
91,116 BEDOK NTH RD,1.33100823526591,103.938066838998
92,419 BEDOK NTH ST 1,1.32696621417456,103.928135771625
93,107 BEDOK NTH RD,1.33231740745783,103.936301267285
94,221B BEDOK CTRL,1.32500043309616,103.934497810091
95,219A BEDOK CTRL,1.32531112114443,103.933278106545
96,512 BEDOK NTH AVE 2,1.33336715518929,103.929177675999
97,131 BEDOK RESERVOIR RD,1.3331220560709,103.911711197755
98,147 BEDOK RESERVOIR RD,1.33488194247883,103.911778859623
99,117 BEDOK NTH RD,1.33065454769523,103.938496275607
100,82 BEDOK NTH RD,1.32953680475668,103.940406562732
101,121 BEDOK NTH RD,1.32964201790706,103.938821071117
102,536 BEDOK NTH ST 3,1.3335411894605,103.923190774432
103,517 BEDOK NTH AVE 2,1.33108906602956,103.929204536012
104,34 BEDOK STH AVE 2,1.32205652925918,103.93835472666
105,6 BEDOK STH AVE 2,1.32221710776614,103.934991224907
106,37 BEDOK STH AVE 2,1.32190663617287,103.939847213862
107,35 BEDOK STH AVE 2,1.32233220742919,103.939766219283
108,724 BEDOK RESERVOIR RD,1.33714403979137,103.928433830286
109,523 BEDOK NTH ST 3,1.33435471975894,103.930612016802
110,65 NEW UPP CHANGI RD,1.32467852779302,103.939770313241
111,132 BEDOK NTH ST 2,1.32775288998395,103.936709340476
112,62 NEW UPP CHANGI RD,1.32332667400534,103.940030188552
113,428 BEDOK NTH RD,1.32953994162628,103.9276500842
114,772 BEDOK RESERVOIR VIEW,1.3364625679398,103.937895451472
115,774 BEDOK RESERVOIR VIEW,1.3365822191075,103.93670727972
116,768 BEDOK RESERVOIR VIEW,1.33566434343811,103.937321681832
117,180 BEDOK NTH RD,1.3267134876497,103.940892186551
118,611 BEDOK RESERVOIR RD,1.33101555033747,103.915165583026
119,602 BEDOK RESERVOIR RD,1.32934898685946,103.911583237057
120,101 BEDOK RESERVOIR RD,1.32844913301985,103.909937396599
121,506 BEDOK NTH AVE 3,1.33214280816285,103.933720223574
122,99 BEDOK NTH AVE 4,1.33393217749941,103.939470307742
123,553 BEDOK NTH AVE 1,1.33149366261597,103.927818703986
124,804 CHAI CHEE RD,1.3242250727223,103.922021941751
125,659 JLN TENAGA,1.33433246206686,103.906386015918
126,405 BEDOK NTH AVE 3,1.32871338222698,103.93409540275
127,172 BEDOK STH RD,1.32066917100909,103.94468952936
128,406 BEDOK NTH AVE 3,1.32822550655778,103.934469289425
129,55 NEW UPP CHANGI RD,1.32509255644891,103.942110168405
130,66 BEDOK STH AVE 3,1.31849377884951,103.943872460454
131,103 LENGKONG TIGA,1.32585546338587,103.910598910975
132,67 BEDOK STH AVE 3,1.31897410282406,103.944076222052
133,114 BEDOK RESERVOIR RD,1.33056065989658,103.909838947885
134,10D BEDOK STH AVE 2,1.3217708591015,103.936326570445
135,629 BEDOK RESERVOIR RD,1.33439908281466,103.914501162624
136,104 LENGKONG TIGA,1.32563496745023,103.909815198327
137,308 SHUNFU RD,1.35058252902296,103.837846846026
138,271 BISHAN ST 24,1.35661575812609,103.842317636339
139,107 BISHAN ST 12,1.34641761420969,103.847920706844
140,239 BISHAN ST 22,1.36043776070807,103.844783880156
141,264 BISHAN ST 24,1.35865897891792,103.842049817206
142,177 BISHAN ST 13,1.3478462316134,103.853549587529
143,281 BISHAN ST 24,1.35727709271493,103.844629114303
144,113 BISHAN ST 12,1.34723185095729,103.848808988875
145,227 BISHAN ST 23,1.35807055643058,103.84713811731
146,167 BISHAN ST 13,1.34800341123895,103.855395747158
147,112 BISHAN ST 12,1.34681029782167,103.84904106054
